payment_option_id,request_id,payment_method,payment_amount,number_of_payments,first_payment_date,payment_frequency_days,financing_fee,total_payable_amount
payment_option_371,request_130,full_payment,603.6,1,2024-12-06,,0,603.6
payment_option_372,request_130,installments,33.92,21,2024-12-09,28,108.72,712.32
payment_option_373,request_130,installments,30.68,24,2024-12-20,31,132.72,736.32
payment_option_374,request_131,installments,700.13,3,2025-05-06,28,80.79,2100.39
payment_option_375,request_131,full_payment,2019.6,1,2025-05-03,,0,2019.6
payment_option_376,request_131,installments,148.1,15,2025-05-10,30,201.9,2221.5
payment_option_377,request_132,full_payment,61072,1,2026-01-05,,0,61072
payment_option_378,request_132,installments,3867.89,18,2026-01-19,31,8550.02,69622.02
payment_option_379,request_132,installments,3104.49,24,2026-01-08,30,13435.76,74507.76
payment_option_380,request_133,full_payment,29568,1,2024-03-07,,0,29568
payment_option_381,request_133,installments,1661.44,21,2024-03-07,28,5322.24,34890.24
payment_option_382,request_134,full_payment,749.1,1,2025-08-04,,0,749.1
payment_option_383,request_134,installments,54.93,15,2025-08-07,30,74.85,823.95
payment_option_384,request_134,installments,38.08,24,2025-08-18,28,164.82,913.92
payment_option_385,request_135,full_payment,1429.2,1,2026-07-06,,0,1429.2
payment_option_386,request_135,installments,90.52,18,2026-07-13,31,200.16,1629.36
payment_option_387,request_135,installments,257.26,6,2026-07-20,28,114.36,1543.56
payment_option_388,request_136,full_payment,1214.4,1,2024-06-03,,0,1214.4
payment_option_389,request_136,installments,68.24,21,2024-06-17,28,218.64,1433.04
payment_option_390,request_136,installments,218.59,6,2024-06-03,30,97.14,1311.54
payment_option_391,request_136,installments,61.73,24,2024-06-06,31,267.12,1481.52
payment_option_392,request_137,full_payment,26809000,1,2025-11-05,,0,26809000
payment_option_393,request_137,installments,1965993.33,15,2025-11-05,30,2680899.95,29489899.95
payment_option_394,request_138,full_payment,53846000,1,2026-04-07,,0,53846000
payment_option_395,request_138,installments,3410246.67,18,2026-04-10,31,7538440.06,61384440.06
payment_option_396,request_138,installments,2737171.67,24,2026-04-21,30,11846120.08,65692120.08
payment_option_397,request_139,installments,316.89,3,2024-09-07,31,36.57,950.67
payment_option_398,request_139,full_payment,914.1,1,2024-09-04,,0,914.1
payment_option_399,request_139,installments,51.36,21,2024-09-11,28,164.46,1078.56
payment_option_400,request_140,full_payment,4771.2,1,2025-02-06,,0,4771.2
payment_option_401,request_140,installments,349.89,15,2025-02-20,30,477.15,5248.35
payment_option_402,request_140,installments,242.54,24,2025-02-09,28,1049.76,5820.96
payment_option_403,request_141,full_payment,1188,1,2026-01-03,,0,1188
payment_option_404,request_141,installments,75.24,18,2026-01-03,31,166.32,1354.32
payment_option_405,request_142,full_payment,668.8,1,2024-12-05,,0,668.8
payment_option_406,request_142,installments,37.58,21,2024-12-08,28,120.38,789.18
payment_option_407,request_142,installments,120.38,6,2024-12-12,30,53.48,722.28
payment_option_408,request_142,installments,34,24,2024-12-19,31,147.2,816
payment_option_409,request_143,full_payment,1452,1,2025-05-07,,0,1452
payment_option_410,request_143,installments,106.48,15,2025-05-14,30,145.2,1597.2
payment_option_411,request_144,full_payment,24288,1,2026-07-04,,0,24288
payment_option_412,request_144,installments,1538.24,18,2026-07-18,31,3400.32,27688.32
payment_option_413,request_144,installments,1234.64,24,2026-07-07,30,5343.36,29631.36
payment_option_414,request_145,installments,39589.33,3,2024-03-20,31,4567.99,118767.99
payment_option_415,request_145,full_payment,114200,1,2024-03-06,,0,114200
payment_option_416,request_145,installments,6416.95,21,2024-03-06,28,20555.95,134755.95
payment_option_417,request_146,full_payment,2806.1,1,2025-08-03,,0,2806.1
payment_option_418,request_146,installments,205.78,15,2025-08-06,30,280.6,3086.7
payment_option_419,request_146,installments,142.64,24,2025-08-17,28,617.26,3423.36
payment_option_420,request_147,installments,259.58,3,2026-04-08,30,29.94,778.74
payment_option_421,request_147,full_payment,748.8,1,2026-04-05,,0,748.8
payment_option_422,request_147,installments,47.42,18,2026-04-12,31,104.76,853.56
payment_option_423,request_148,installments,31269.33,3,2024-06-14,31,3607.99,93807.99
payment_option_424,request_148,full_payment,90200,1,2024-06-07,,0,90200
payment_option_425,request_148,installments,5068.38,21,2024-06-21,28,16235.98,106435.98
payment_option_426,request_149,installments,253.21,3,2025-11-18,28,29.23,759.63
payment_option_427,request_149,full_payment,730.4,1,2025-11-04,,0,730.4
payment_option_428,request_149,installments,53.56,15,2025-11-04,30,73,803.4
payment_option_429,request_150,installments,22048,3,2026-01-06,30,2544,66144
payment_option_430,request_150,full_payment,63600,1,2026-01-06,,0,63600
payment_option_431,request_150,installments,4028,18,2026-01-09,31,8904,72504
payment_option_432,request_151,full_payment,1197.9,1,2024-09-03,,0,1197.9
payment_option_433,request_151,installments,67.31,21,2024-09-10,28,215.61,1413.51
payment_option_434,request_151,installments,215.62,6,2024-09-17,30,95.82,1293.72
payment_option_435,request_152,installments,631.49,3,2025-02-12,28,72.87,1894.47
payment_option_436,request_152,full_payment,1821.6,1,2025-02-05,,0,1821.6
payment_option_437,request_152,installments,133.58,15,2025-02-19,30,182.1,2003.7
payment_option_438,request_153,full_payment,63004000,1,2026-07-07,,0,63004000
payment_option_439,request_153,installments,3990253.33,18,2026-07-07,31,8820559.94,71824559.94
payment_option_440,request_154,installments,589.92,3,2024-12-04,31,68.06,1769.76
payment_option_441,request_154,full_payment,1701.7,1,2024-12-04,,0,1701.7
payment_option_442,request_154,installments,95.62,21,2024-12-07,28,306.32,2008.02
payment_option_443,request_155,full_payment,2026.8,1,2025-05-06,,0,2026.8
payment_option_444,request_155,installments,148.63,15,2025-05-13,30,202.65,2229.45
payment_option_445,request_155,installments,364.82,6,2025-05-20,31,162.12,2188.92
payment_option_446,request_156,full_payment,1152,1,2026-04-03,,0,1152
payment_option_447,request_156,installments,72.96,18,2026-04-17,31,161.28,1313.28
payment_option_448,request_156,installments,58.56,24,2026-04-06,30,253.44,1405.44
payment_option_449,request_157,full_payment,1444.3,1,2024-03-05,,0,1444.3
payment_option_450,request_157,installments,81.16,21,2024-03-05,28,260.06,1704.36
payment_option_451,request_158,installments,3886133.33,3,2025-08-07,28,448399.99,11658399.99
payment_option_452,request_158,full_payment,11210000,1,2025-08-07,,0,11210000
payment_option_453,request_158,installments,822066.67,15,2025-08-10,30,1121000.05,12331000.05
payment_option_454,request_159,full_payment,53400,1,2026-01-04,,0,53400
payment_option_455,request_159,installments,3382,18,2026-01-11,31,7476,60876
payment_option_456,request_160,installments,325.31,3,2024-06-13,31,37.53,975.93
payment_option_457,request_160,full_payment,938.4,1,2024-06-06,,0,938.4
payment_option_458,request_160,installments,52.73,21,2024-06-20,28,168.93,1107.33
payment_option_459,request_161,full_payment,1799.6,1,2025-11-03,,0,1799.6
payment_option_460,request_161,installments,131.97,15,2025-11-03,30,179.95,1979.55
payment_option_461,request_162,full_payment,90134,1,2026-07-05,,0,90134
payment_option_462,request_162,installments,5708.49,18,2026-07-08,31,12618.82,102752.82
payment_option_463,request_162,installments,4581.81,24,2026-07-19,30,19829.44,109963.44
payment_option_464,request_163,installments,864.03,3,2024-09-10,31,99.69,2592.09
payment_option_465,request_163,full_payment,2492.4,1,2024-09-07,,0,2492.4
payment_option_466,request_163,installments,140.05,21,2024-09-14,28,448.65,2941.05
payment_option_467,request_164,installments,4652.27,3,2025-02-11,28,536.81,13956.81
payment_option_468,request_164,full_payment,13420,1,2025-02-04,,0,13420
payment_option_469,request_164,installments,984.13,15,2025-02-18,30,1341.95,14761.95
payment_option_470,request_165,full_payment,58000,1,2026-04-06,,0,58000
payment_option_471,request_165,installments,3673.33,18,2026-04-06,31,8119.94,66119.94
payment_option_472,request_165,installments,10440,6,2026-04-09,28,4640,62640
payment_option_473,request_166,installments,15142746.67,3,2024-12-03,31,1747240.01,45428240.01
payment_option_474,request_166,full_payment,43681000,1,2024-12-03,,0,43681000
payment_option_475,request_166,installments,2454456.19,21,2024-12-06,28,7862579.99,51543579.99
payment_option_476,request_167,full_payment,27588000,1,2025-05-05,,0,27588000
payment_option_477,request_167,installments,2023120,15,2025-05-12,30,2758800,30346800
payment_option_478,request_167,installments,4965840,6,2025-05-19,31,2207040,29795040
payment_option_479,request_168,full_payment,12027000,1,2026-01-07,,0,12027000
payment_option_480,request_168,installments,761710,18,2026-01-21,31,1683780,13710780
payment_option_481,request_168,installments,611372.5,24,2026-01-10,30,2645940,14672940
payment_option_482,request_169,full_payment,42702,1,2024-03-04,,0,42702
payment_option_483,request_169,installments,2399.45,21,2024-03-04,28,7686.45,50388.45
payment_option_484,request_169,installments,7686.36,6,2024-03-07,30,3416.16,46118.16
payment_option_485,request_170,installments,526.62,3,2025-08-06,28,60.76,1579.86
payment_option_486,request_170,full_payment,1519.1,1,2025-08-06,,0,1519.1
payment_option_487,request_170,installments,111.4,15,2025-08-09,30,151.9,1671
payment_option_488,request_171,full_payment,45315000,1,2026-07-03,,0,45315000
payment_option_489,request_171,installments,2869950,18,2026-07-10,31,6344100,51659100
payment_option_490,request_172,full_payment,300700,1,2024-06-05,,0,300700
payment_option_491,request_172,installments,16896.48,21,2024-06-19,28,54126.08,354826.08
payment_option_492,request_172,installments,15285.58,24,2024-06-08,31,66153.92,366853.92
payment_option_493,request_173,installments,8717.28,3,2025-11-21,28,1005.84,26151.84
payment_option_494,request_173,full_payment,25146,1,2025-11-07,,0,25146
payment_option_495,request_173,installments,1844.04,15,2025-11-07,30,2514.6,27660.6
payment_option_496,request_174,installments,199.26,3,2026-04-04,30,22.98,597.78
payment_option_497,request_174,full_payment,574.8,1,2026-04-04,,0,574.8
payment_option_498,request_174,installments,36.4,18,2026-04-07,31,80.4,655.2
payment_option_499,request_175,full_payment,33269000,1,2024-09-06,,0,33269000
payment_option_500,request_175,installments,1869400.95,21,2024-09-13,28,5988419.95,39257419.95
payment_option_501,request_175,installments,5988420,6,2024-09-20,30,2661520,35930520
payment_option_502,request_176,full_payment,76703000,1,2025-02-03,,0,76703000
payment_option_503,request_176,installments,5624886.67,15,2025-02-17,30,7670300.05,84373300.05
payment_option_504,request_176,installments,3899069.17,24,2025-02-06,28,16874660.08,93577660.08
payment_option_505,request_177,full_payment,1798.8,1,2026-01-05,,0,1798.8
payment_option_506,request_177,installments,113.92,18,2026-01-05,31,251.76,2050.56
payment_option_507,request_177,installments,323.78,6,2026-01-08,28,143.88,1942.68
payment_option_508,request_178,installments,974.27,3,2024-12-07,31,112.41,2922.81
payment_option_509,request_178,full_payment,2810.4,1,2024-12-07,,0,2810.4
payment_option_510,request_178,installments,157.92,21,2024-12-10,28,505.92,3316.32
payment_option_511,request_179,full_payment,87900,1,2025-05-04,,0,87900
payment_option_512,request_179,installments,6446,15,2025-05-11,30,8790,96690
payment_option_513,request_180,full_payment,196900,1,2026-07-06,,0,196900
payment_option_514,request_180,installments,12470.33,18,2026-07-20,31,27565.94,224465.94
payment_option_515,request_180,installments,35442,6,2026-07-06,28,15752,212652
payment_option_516,request_180,installments,10009.08,24,2026-07-09,30,43317.92,240217.92
payment_option_517,request_181,full_payment,3861,1,2024-03-03,,0,3861
payment_option_518,request_181,installments,216.95,21,2024-03-03,28,694.95,4555.95
payment_option_519,request_182,full_payment,852,1,2025-08-05,,0,852
payment_option_520,request_182,installments,62.48,15,2025-08-08,30,85.2,937.2
payment_option_521,request_182,installments,153.36,6,2025-08-12,31,68.16,920.16
payment_option_522,request_182,installments,43.31,24,2025-08-19,28,187.44,1039.44
payment_option_523,request_183,installments,564.37,3,2026-04-10,30,65.11,1693.11
payment_option_524,request_183,full_payment,1628,1,2026-04-07,,0,1628
payment_option_525,request_183,installments,103.11,18,2026-04-14,31,227.98,1855.98
payment_option_526,request_184,full_payment,70699000,1,2024-06-04,,0,70699000
payment_option_527,request_184,installments,3972610.48,21,2024-06-18,28,12725820.08,83424820.08
payment_option_528,request_184,installments,3593865.83,24,2024-06-07,31,15553779.92,86252779.92
payment_option_529,request_185,full_payment,2092.2,1,2025-11-06,,0,2092.2
payment_option_530,request_185,installments,153.43,15,2025-11-06,30,209.25,2301.45
payment_option_531,request_186,full_payment,7106,1,2026-01-03,,0,7106
payment_option_532,request_186,installments,450.05,18,2026-01-06,31,994.9,8100.9
payment_option_533,request_186,installments,361.22,24,2026-01-17,30,1563.28,8669.28
payment_option_534,request_187,full_payment,84700,1,2024-09-05,,0,84700
payment_option_535,request_187,installments,4759.33,21,2024-09-12,28,15245.93,99945.93
payment_option_536,request_188,full_payment,54758,1,2025-02-07,,0,54758
payment_option_537,request_188,installments,4015.59,15,2025-02-21,30,5475.85,60233.85
payment_option_538,request_188,installments,2783.53,24,2025-02-10,28,12046.72,66804.72
payment_option_539,request_189,full_payment,1050.5,1,2026-07-04,,0,1050.5
payment_option_540,request_189,installments,66.53,18,2026-07-04,31,147.04,1197.54
payment_option_541,request_189,installments,189.09,6,2026-07-07,28,84.04,1134.54
payment_option_542,request_190,full_payment,1692,1,2024-12-06,,0,1692
payment_option_543,request_190,installments,95.07,21,2024-12-09,28,304.47,1996.47
payment_option_544,request_190,installments,86.01,24,2024-12-20,31,372.24,2064.24
payment_option_545,request_191,full_payment,28652000,1,2025-05-03,,0,28652000
payment_option_546,request_191,installments,2101146.67,15,2025-05-10,30,2865200.05,31517200.05
payment_option_547,request_191,installments,5157360,6,2025-05-17,31,2292160,30944160
payment_option_548,request_192,full_payment,1315.2,1,2026-04-05,,0,1315.2
payment_option_549,request_192,installments,83.3,18,2026-04-19,31,184.2,1499.4
payment_option_550,request_192,installments,66.86,24,2026-04-08,30,289.44,1604.64
payment_option_551,request_193,installments,6059733.33,3,2024-03-21,31,699199.99,18179199.99
payment_option_552,request_193,full_payment,17480000,1,2024-03-07,,0,17480000
payment_option_553,request_193,installments,982209.52,21,2024-03-07,28,3146399.92,20626399.92
payment_option_554,request_194,full_payment,108000,1,2025-08-04,,0,108000
payment_option_555,request_194,installments,7920,15,2025-08-07,30,10800,118800
payment_option_556,request_194,installments,5490,24,2025-08-18,28,23760,131760
payment_option_557,request_195,installments,538.82,3,2026-01-09,30,62.16,1616.46
payment_option_558,request_195,full_payment,1554.3,1,2026-01-06,,0,1554.3
payment_option_559,request_195,installments,98.44,18,2026-01-13,31,217.62,1771.92
payment_option_560,request_196,full_payment,19950000,1,2024-06-03,,0,19950000
payment_option_561,request_196,installments,1121000,21,2024-06-17,28,3591000,23541000
payment_option_562,request_196,installments,3591000,6,2024-06-03,30,1596000,21546000
payment_option_563,request_196,installments,1014125,24,2024-06-06,31,4389000,24339000
payment_option_564,request_197,installments,681.44,3,2025-11-19,28,78.62,2044.32
payment_option_565,request_197,full_payment,1965.7,1,2025-11-05,,0,1965.7
payment_option_566,request_197,installments,144.15,15,2025-11-05,30,196.55,2162.25
payment_option_567,request_198,full_payment,168700,1,2026-07-07,,0,168700
payment_option_568,request_198,installments,10684.33,18,2026-07-10,31,23617.94,192317.94
payment_option_569,request_198,installments,30366,6,2026-07-14,28,13496,182196
payment_option_570,request_198,installments,8575.58,24,2026-07-21,30,37113.92,205813.92
payment_option_571,request_199,installments,8589013.33,3,2024-09-07,31,991039.99,25767039.99
payment_option_572,request_199,full_payment,24776000,1,2024-09-04,,0,24776000
payment_option_573,request_199,installments,1392175.24,21,2024-09-11,28,4459680.04,29235680.04
payment_option_574,request_200,full_payment,1274.9,1,2025-02-06,,0,1274.9
payment_option_575,request_200,installments,93.49,15,2025-02-20,30,127.45,1402.35
payment_option_576,request_200,installments,229.48,6,2025-02-06,31,101.98,1376.88
payment_option_577,request_200,installments,64.81,24,2025-02-09,28,280.54,1555.44
payment_option_578,request_201,full_payment,122000,1,2026-04-03,,0,122000
payment_option_579,request_201,installments,7726.67,18,2026-04-03,31,17080.06,139080.06
payment_option_580,request_201,installments,21960,6,2026-04-06,28,9760,131760
payment_option_581,request_202,full_payment,1867.2,1,2024-12-05,,0,1867.2
payment_option_582,request_202,installments,104.92,21,2024-12-08,28,336.12,2203.32
payment_option_583,request_202,installments,336.1,6,2024-12-12,30,149.4,2016.6
payment_option_584,request_202,installments,94.92,24,2024-12-19,31,410.88,2278.08
payment_option_585,request_203,installments,537.47,3,2025-05-10,28,62.01,1612.41
payment_option_586,request_203,full_payment,1550.4,1,2025-05-07,,0,1550.4
payment_option_587,request_203,installments,113.7,15,2025-05-14,30,155.1,1705.5
payment_option_588,request_204,full_payment,321600,1,2026-01-04,,0,321600
payment_option_589,request_204,installments,20368,18,2026-01-18,31,45024,366624
payment_option_590,request_204,installments,16348,24,2026-01-07,30,70752,392352
payment_option_591,request_205,full_payment,52900,1,2024-03-06,,0,52900
payment_option_592,request_205,installments,2972.48,21,2024-03-06,28,9522.08,62422.08
payment_option_593,request_205,installments,9522,6,2024-03-09,30,4232,57132
payment_option_594,request_206,full_payment,2197.2,1,2025-08-03,,0,2197.2
payment_option_595,request_206,installments,161.13,15,2025-08-06,30,219.75,2416.95
payment_option_596,request_206,installments,111.69,24,2025-08-17,28,483.36,2680.56
payment_option_597,request_207,full_payment,1863.4,1,2026-07-05,,0,1863.4
payment_option_598,request_207,installments,118.02,18,2026-07-12,31,260.96,2124.36
payment_option_599,request_208,full_payment,1503.7,1,2024-06-07,,0,1503.7
payment_option_600,request_208,installments,84.49,21,2024-06-21,28,270.59,1774.29
payment_option_601,request_208,installments,76.44,24,2024-06-10,31,330.86,1834.56
payment_option_602,request_209,full_payment,2649.6,1,2025-11-04,,0,2649.6
payment_option_603,request_209,installments,194.3,15,2025-11-04,30,264.9,2914.5
payment_option_604,request_210,full_payment,356400,1,2026-04-06,,0,356400
payment_option_605,request_210,installments,22572,18,2026-04-09,31,49896,406296
payment_option_606,request_210,installments,18117,24,2026-04-20,30,78408,434808
payment_option_607,request_211,full_payment,98900,1,2024-09-03,,0,98900
payment_option_608,request_211,installments,5557.24,21,2024-09-10,28,17802.04,116702.04
payment_option_609,request_212,full_payment,59204000,1,2025-02-05,,0,59204000
payment_option_610,request_212,installments,4341626.67,15,2025-02-19,30,5920400.05,65124400.05
payment_option_611,request_212,installments,3009536.67,24,2025-02-08,28,13024880.08,72228880.08
payment_option_612,request_213,installments,10837.49,3,2026-01-21,30,1250.47,32512.47
payment_option_613,request_213,full_payment,31262,1,2026-01-07,,0,31262
payment_option_614,request_213,installments,1979.93,18,2026-01-07,31,4376.74,35638.74
payment_option_615,request_214,full_payment,3268.1,1,2024-12-04,,0,3268.1
payment_option_616,request_214,installments,183.64,21,2024-12-07,28,588.34,3856.44
payment_option_617,request_214,installments,166.13,24,2024-12-18,31,719.02,3987.12
payment_option_618,request_215,installments,725.68,3,2025-05-09,28,83.74,2177.04
payment_option_619,request_215,full_payment,2093.3,1,2025-05-06,,0,2093.3
payment_option_620,request_215,installments,153.51,15,2025-05-13,30,209.35,2302.65
payment_option_621,request_216,full_payment,28937000,1,2026-07-03,,0,28937000
payment_option_622,request_216,installments,1832676.67,18,2026-07-17,31,4051180.06,32988180.06
payment_option_623,request_216,installments,1470964.17,24,2026-07-06,30,6366140.08,35303140.08
payment_option_624,request_217,installments,53837.33,3,2024-03-19,31,6211.99,161511.99
payment_option_625,request_217,full_payment,155300,1,2024-03-05,,0,155300
payment_option_626,request_217,installments,8726.38,21,2024-03-05,28,27953.98,183253.98
payment_option_627,request_218,installments,262.74,3,2025-08-07,28,30.32,788.22
payment_option_628,request_218,full_payment,757.9,1,2025-08-07,,0,757.9
payment_option_629,request_218,installments,55.58,15,2025-08-10,30,75.8,833.7
payment_option_630,request_219,installments,6059733.33,3,2026-04-07,30,699199.99,18179199.99
payment_option_631,request_219,full_payment,17480000,1,2026-04-04,,0,17480000
payment_option_632,request_219,installments,1107066.67,18,2026-04-11,31,2447200.06,19927200.06
payment_option_633,request_220,full_payment,64086,1,2024-06-06,,0,64086
payment_option_634,request_220,installments,3601.02,21,2024-06-20,28,11535.42,75621.42
payment_option_635,request_220,installments,3257.71,24,2024-06-09,31,14099.04,78185.04
payment_option_636,request_221,full_payment,29348,1,2025-11-03,,0,29348
payment_option_637,request_221,installments,2152.19,15,2025-11-03,30,2934.85,32282.85
payment_option_638,request_221,installments,5282.64,6,2025-11-06,31,2347.84,31695.84
payment_option_639,request_222,full_payment,50116,1,2026-01-05,,0,50116
payment_option_640,request_222,installments,3174.01,18,2026-01-08,31,7016.18,57132.18
payment_option_641,request_222,installments,9020.88,6,2026-01-12,28,4009.28,54125.28
payment_option_642,request_222,installments,2547.56,24,2026-01-19,30,11025.44,61141.44
payment_option_643,request_223,full_payment,165100,1,2024-09-07,,0,165100
payment_option_644,request_223,installments,9277.05,21,2024-09-14,28,29718.05,194818.05
payment_option_645,request_223,installments,29718,6,2024-09-21,30,13208,178308
payment_option_646,request_224,full_payment,4514.4,1,2025-02-04,,0,4514.4
payment_option_647,request_224,installments,331.06,15,2025-02-18,30,451.5,4965.9
payment_option_648,request_224,installments,229.48,24,2025-02-07,28,993.12,5507.52
payment_option_649,request_225,installments,13153573.33,3,2026-07-20,30,1517719.99,39460719.99
payment_option_650,request_225,full_payment,37943000,1,2026-07-06,,0,37943000
payment_option_651,request_225,installments,2403056.67,18,2026-07-06,31,5312020.06,43255020.06
payment_option_652,request_226,full_payment,41306000,1,2024-12-03,,0,41306000
payment_option_653,request_226,installments,2321003.81,21,2024-12-06,28,7435080.01,48741080.01
payment_option_654,request_226,installments,7435080,6,2024-12-10,30,3304480,44610480
payment_option_655,request_226,installments,2099721.67,24,2024-12-17,31,9087320.08,50393320.08
payment_option_656,request_227,full_payment,2098.8,1,2025-05-05,,0,2098.8
payment_option_657,request_227,installments,153.91,15,2025-05-12,30,209.85,2308.65
payment_option_658,request_228,full_payment,364300,1,2026-04-07,,0,364300
payment_option_659,request_228,installments,23072.33,18,2026-04-21,31,51001.94,415301.94
payment_option_660,request_228,installments,18518.58,24,2026-04-10,30,80145.92,444445.92
payment_option_661,request_229,installments,43264,3,2024-03-18,31,4992,129792
payment_option_662,request_229,full_payment,124800,1,2024-03-04,,0,124800
payment_option_663,request_229,installments,7012.57,21,2024-03-04,28,22463.97,147263.97
payment_option_664,request_230,full_payment,46882,1,2025-08-06,,0,46882
payment_option_665,request_230,installments,3438.01,15,2025-08-09,30,4688.15,51570.15
payment_option_666,request_230,installments,8438.76,6,2025-08-13,31,3750.56,50632.56
payment_option_667,request_230,installments,2383.17,24,2025-08-20,28,10314.08,57196.08
payment_option_668,request_231,installments,9386000,3,2026-01-06,30,1083000,28158000
payment_option_669,request_231,full_payment,27075000,1,2026-01-03,,0,27075000
payment_option_670,request_231,installments,1714750,18,2026-01-10,31,3790500,30865500
payment_option_671,request_232,full_payment,25212,1,2024-06-05,,0,25212
payment_option_672,request_232,installments,1416.67,21,2024-06-19,28,4538.07,29750.07
payment_option_673,request_232,installments,1281.61,24,2024-06-08,31,5546.64,30758.64
payment_option_674,request_233,full_payment,314800,1,2025-11-07,,0,314800
payment_option_675,request_233,installments,23085.33,15,2025-11-07,30,31479.95,346279.95
payment_option_676,request_234,full_payment,966,1,2026-07-04,,0,966
payment_option_677,request_234,installments,61.18,18,2026-07-07,31,135.24,1101.24
payment_option_678,request_234,installments,49.11,24,2026-07-18,30,212.64,1178.64
payment_option_679,request_235,full_payment,25403000,1,2024-09-06,,0,25403000
payment_option_680,request_235,installments,1427406.67,21,2024-09-13,28,4572540.07,29975540.07
payment_option_681,request_235,installments,4572540,6,2024-09-20,30,2032240,27435240
payment_option_682,request_236,full_payment,49544,1,2025-02-03,,0,49544
payment_option_683,request_236,installments,3633.23,15,2025-02-17,30,4954.45,54498.45
payment_option_684,request_236,installments,2518.49,24,2025-02-06,28,10899.76,60443.76
payment_option_685,request_237,full_payment,331100,1,2026-04-05,,0,331100
payment_option_686,request_237,installments,20969.67,18,2026-04-05,31,46354.06,377454.06
payment_option_687,request_237,installments,59598,6,2026-04-08,28,26488,357588
payment_option_688,request_238,installments,591.97,3,2024-12-07,31,68.31,1775.91
payment_option_689,request_238,full_payment,1707.6,1,2024-12-07,,0,1707.6
payment_option_690,request_238,installments,95.95,21,2024-12-10,28,307.35,2014.95
payment_option_691,request_239,full_payment,17556,1,2025-05-04,,0,17556
payment_option_692,request_239,installments,1287.44,15,2025-05-11,30,1755.6,19311.6
payment_option_693,request_239,installments,3160.08,6,2025-05-18,31,1404.48,18960.48
payment_option_694,request_240,full_payment,339700,1,2026-01-06,,0,339700
payment_option_695,request_240,installments,21514.33,18,2026-01-20,31,47557.94,387257.94
payment_option_696,request_240,installments,17268.08,24,2026-01-09,30,74733.92,414433.92
payment_option_697,request_241,installments,843.51,3,2024-03-17,31,97.33,2530.53
payment_option_698,request_241,full_payment,2433.2,1,2024-03-03,,0,2433.2
payment_option_699,request_241,installments,136.72,21,2024-03-03,28,437.92,2871.12
payment_option_700,request_242,full_payment,297000,1,2025-08-05,,0,297000
payment_option_701,request_242,installments,21780,15,2025-08-08,30,29700,326700
payment_option_702,request_242,installments,15097.5,24,2025-08-19,28,65340,362340
payment_option_703,request_243,full_payment,1893.6,1,2026-07-07,,0,1893.6
payment_option_704,request_243,installments,119.93,18,2026-07-14,31,265.14,2158.74
payment_option_705,request_243,installments,340.85,6,2026-07-21,28,151.5,2045.1
payment_option_706,request_244,full_payment,1751.2,1,2024-06-04,,0,1751.2
payment_option_707,request_244,installments,98.4,21,2024-06-18,28,315.2,2066.4
payment_option_708,request_244,installments,315.22,6,2024-06-04,30,140.12,1891.32
payment_option_709,request_244,installments,89.02,24,2024-06-07,31,385.28,2136.48
payment_option_710,request_245,full_payment,2061.4,1,2025-11-06,,0,2061.4
payment_option_711,request_245,installments,151.17,15,2025-11-06,30,206.15,2267.55
payment_option_712,request_246,installments,55120,3,2026-04-03,30,6360,165360
payment_option_713,request_246,full_payment,159000,1,2026-04-03,,0,159000
payment_option_714,request_246,installments,10070,18,2026-04-06,31,22260,181260
payment_option_715,request_247,full_payment,636,1,2024-09-05,,0,636
payment_option_716,request_247,installments,35.74,21,2024-09-12,28,114.54,750.54
payment_option_717,request_247,installments,114.48,6,2024-09-19,30,50.88,686.88
payment_option_718,request_248,full_payment,3507.9,1,2025-02-07,,0,3507.9
payment_option_719,request_248,installments,257.25,15,2025-02-21,30,350.85,3858.75
payment_option_720,request_248,installments,178.32,24,2025-02-10,28,771.78,4279.68
payment_option_721,request_249,full_payment,63800,1,2026-01-04,,0,63800
payment_option_722,request_249,installments,4040.67,18,2026-01-04,31,8932.06,72732.06
payment_option_723,request_250,full_payment,4241.6,1,2024-12-06,,0,4241.6
payment_option_724,request_250,installments,238.34,21,2024-12-09,28,763.54,5005.14
payment_option_725,request_250,installments,215.61,24,2024-12-20,31,933.04,5174.64
payment_option_726,request_251,full_payment,38532000,1,2025-05-03,,0,38532000
payment_option_727,request_251,installments,2825680,15,2025-05-10,30,3853200,42385200
payment_option_728,request_252,full_payment,2263.8,1,2026-07-05,,0,2263.8
payment_option_729,request_252,installments,143.37,18,2026-07-19,31,316.86,2580.66
payment_option_730,request_252,installments,115.08,24,2026-07-08,30,498.12,2761.92
payment_option_731,request_253,installments,10960213.33,3,2024-03-21,31,1264639.99,32880639.99
payment_option_732,request_253,full_payment,31616000,1,2024-03-07,,0,31616000
payment_option_733,request_253,installments,1776518.1,21,2024-03-07,28,5690880.1,37306880.1
payment_option_734,request_254,full_payment,129900,1,2025-08-04,,0,129900
payment_option_735,request_254,installments,9526,15,2025-08-07,30,12990,142890
payment_option_736,request_254,installments,6603.25,24,2025-08-18,28,28578,158478
payment_option_737,request_255,full_payment,14432,1,2026-04-06,,0,14432
payment_option_738,request_255,installments,914.03,18,2026-04-13,31,2020.54,16452.54
payment_option_739,request_256,installments,272.48,3,2024-06-10,31,31.44,817.44
payment_option_740,request_256,full_payment,786,1,2024-06-03,,0,786
payment_option_741,request_256,installments,44.17,21,2024-06-17,28,141.57,927.57
